run,runtime,persuaded,assertedArgumentsCount,assertedArguments,inputModel
63,00:00:00.182,0,33,["a29"|"a49"|"a"|"a44"|"a17"|"a7"|"a50"|"a35"|"a3"|"a27"|"a21"|"a47"|"a1"|"a48"|"a23"|"a4"|"a8"|"a41"|"a31"|"a18"|"a36"|"a26"|"a51"|"a38"|"a2"|"a37"|"a24"|"a5"|"a20"|"a33"|"a45"|"a12"|"a6"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
64,00:00:00.173,0,29,["a26"|"a21"|"a44"|"a32"|"a41"|"a14"|"a45"|"a1"|"a31"|"a10"|"a51"|"a39"|"a18"|"a34"|"a38"|"a43"|"a37"|"a50"|"a16"|"a28"|"a46"|"a4"|"a9"|"a17"|"a15"|"a42"|"a36"|"a49"|"a22"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
65,00:00:00.167,0,35,["a2"|"a46"|"a24"|"a47"|"a33"|"a39"|"a12"|"a21"|"a37"|"a5"|"a43"|"a49"|"a35"|"a17"|"a44"|"a29"|"a31"|"a14"|"a34"|"a13"|"a42"|"a6"|"a1"|"a20"|"a3"|"a26"|"a41"|"a27"|"a10"|"a25"|"a22"|"a18"|"a19"|"a"|"a38"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
66,00:00:00.159,1,5,["a10"|"a30"|"a38"|"a28"|"a20"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
67,00:00:00.161,1,32,["a48"|"a49"|"a28"|"a10"|"a11"|"a51"|"a16"|"a29"|"a17"|"a30"|"a26"|"a31"|"a45"|"a43"|"a32"|"a44"|"a"|"a2"|"a34"|"a7"|"a5"|"a42"|"a21"|"a24"|"a38"|"a13"|"a23"|"a47"|"a37"|"a19"|"a35"|"a27"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
68,00:00:00.156,0,22,["a17"|"a22"|"a39"|"a49"|"a1"|"a50"|"a23"|"a4"|"a9"|"a36"|"a30"|"a10"|"a25"|"a19"|"a3"|"a26"|"a42"|"a7"|"a34"|"a51"|"a31"|"a6"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
69,00:00:00.157,0,31,["a28"|"a8"|"a24"|"a25"|"a2"|"a21"|"a"|"a51"|"a20"|"a18"|"a4"|"a48"|"a11"|"a9"|"a42"|"a41"|"a43"|"a33"|"a44"|"a37"|"a49"|"a47"|"a14"|"a38"|"a39"|"a50"|"a12"|"a32"|"a3"|"a29"|"a35"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
70,00:00:00.164,0,50,["a13"|"a3"|"a50"|"a25"|"a44"|"a10"|"a48"|"a27"|"a12"|"a39"|"a47"|"a6"|"a11"|"a7"|"a43"|"a23"|"a16"|"a29"|"a26"|"a15"|"a5"|"a4"|"a35"|"a19"|"a49"|"a20"|"a1"|"a41"|"a18"|"a34"|"a46"|"a40"|"a45"|"a32"|"a17"|"a8"|"a2"|"a38"|"a14"|"a"|"a37"|"a22"|"a31"|"a36"|"a24"|"a51"|"a9"|"a33"|"a21"|"a30"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
71,00:00:00.160,1,0,[],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
72,00:00:00.159,0,37,["a38"|"a41"|"a16"|"a6"|"a19"|"a2"|"a51"|"a32"|"a40"|"a24"|"a26"|"a45"|"a12"|"a22"|"a5"|"a37"|"a20"|"a33"|"a8"|"a28"|"a7"|"a10"|"a39"|"a3"|"a17"|"a44"|"a47"|"a31"|"a14"|"a13"|"a15"|"a42"|"a34"|"a25"|"a9"|"a18"|"a11"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
73,00:00:00.159,1,38,["a47"|"a39"|"a25"|"a34"|"a21"|"a6"|"a30"|"a51"|"a8"|"a29"|"a23"|"a27"|"a42"|"a11"|"a31"|"a5"|"a14"|"a44"|"a19"|"a15"|"a36"|"a9"|"a20"|"a40"|"a32"|"a3"|"a12"|"a22"|"a37"|"a"|"a24"|"a13"|"a7"|"a49"|"a2"|"a28"|"a16"|"a50"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
74,00:00:00.159,0,20,["a2"|"a46"|"a6"|"a21"|"a24"|"a38"|"a8"|"a"|"a29"|"a12"|"a39"|"a11"|"a28"|"a5"|"a44"|"a19"|"a9"|"a31"|"a48"|"a30"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
75,00:00:00.155,1,10,["a40"|"a27"|"a29"|"a43"|"a31"|"a28"|"a11"|"a4"|"a35"|"a13"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
76,00:00:00.160,0,28,["a2"|"a5"|"a4"|"a19"|"a44"|"a51"|"a3"|"a17"|"a32"|"a38"|"a49"|"a30"|"a20"|"a31"|"a13"|"a26"|"a1"|"a10"|"a15"|"a16"|"a18"|"a46"|"a21"|"a39"|"a25"|"a45"|"a40"|"a50"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
77,00:00:00.168,0,32,["a38"|"a27"|"a13"|"a5"|"a23"|"a33"|"a1"|"a12"|"a19"|"a41"|"a47"|"a32"|"a37"|"a8"|"a28"|"a22"|"a15"|"a7"|"a46"|"a"|"a48"|"a45"|"a40"|"a43"|"a25"|"a49"|"a34"|"a3"|"a44"|"a4"|"a21"|"a17"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
78,00:00:00.155,0,12,["a44"|"a5"|"a31"|"a47"|"a45"|"a2"|"a28"|"a37"|"a18"|"a46"|"a9"|"a39"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
79,00:00:00.156,0,30,["a23"|"a"|"a5"|"a29"|"a49"|"a22"|"a13"|"a33"|"a34"|"a4"|"a8"|"a28"|"a46"|"a41"|"a20"|"a11"|"a36"|"a37"|"a31"|"a6"|"a39"|"a19"|"a38"|"a24"|"a9"|"a47"|"a44"|"a16"|"a17"|"a1"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
80,00:00:00.153,0,13,["a42"|"a35"|"a24"|"a44"|"a9"|"a13"|"a3"|"a45"|"a25"|"a41"|"a33"|"a30"|"a23"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
81,00:00:00.155,1,8,["a35"|"a39"|"a31"|"a4"|"a14"|"a40"|"a15"|"a13"],PF-Tree-52-args-Audience-100-Members-PAF-size-40-args.xmi
